"Accl.","Zone","El�ment","X","Y","Z","Dist. cumul.","Longueur","D�flexion","Corhgeo","Gisement","Pente Z","Tilt Z","Date&nbsp;Calcul","Comm","Id point ","Id assemb.","Id slot"
"BR","360","BRSTART.0.E","1880.503650","2108.400175","2433.660000","0.000000","-","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","20-MAR-2019","-","787437","-","-"
"BR","360","BRSTART.0.S","1880.503650","2108.400175","2433.660000","0.000000","0.000000","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","20-MAR-2019","-","787438","-","-"
"BR","360","BSW.1L1.1.E","1880.376440","2108.711163","2433.660000","0.336000","-","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787451","43201358","43201358"
"BR","360","BSW.1L1.1.S","1880.376440","2108.711163","2433.660000","0.336000","0.000000","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787452","43201358","43201358"
"BR","360","BSW.1L1.2.E","1880.112933","2109.355352","2433.660000","1.032000","-","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787453","43201371","43201371"
"BR","360","BSW.1L1.2.S","1880.112933","2109.355352","2433.660000","1.032000","0.000000","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787454","43201371","43201371"
"BR","360","BSW.1L1.3.E","1879.913031","2109.844048","2433.660000","1.560000","-","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787455","43201387","43201387"
"BR","360","BSW.1L1.3.S","1879.913031","2109.844048","2433.660000","1.560000","0.000000","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787456","43201387","43201387"
"BR","360","BSW.1L1.4.E","1879.649524","2110.488237","2433.660000","2.256000","-","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787457","43201397","43201397"
"BR","360","BSW.1L1.4.S","1879.649524","2110.488237","2433.660000","2.256000","0.000000","0.000000000","0.000000","375.2809750","0.000000000","0.000000000","22-MAR-2019","-","787458","43201397","43201397"
"BR","360","BHZ.11.E","1879.498840","2110.856610","2433.660000","2.654000","-","0.098175000","0.000000","375.2809750","0.000000000","0.000000000","19-JUN-1990","-","80261","2458836","2458836"
"BR","360","BHZ.11.S","1878.743780","2112.284350","2433.660000","4.271696","1.617696","0.098175000","0.000000","362.7810670","0.000000000","0.000000000","19-JUN-1990","-","80262","2458836","2458836"
"BR","360","QFO.11.E","1878.528470","2112.609680","2433.660000","4.661796","-","0.000000000","0.000000","362.7810670","0.000000000","0.000000000","19-JUN-1990","-","80263","2458839","2458839"
